"id";"Image";"Nom";"Référence";"Catégorie";"Prix de base";"Prix final";"Quantité";"État";
"2443";"http://almoune.fr/img/p/0.jpg";"Sablé Chocolat Moulin d'or";"";"Accueil";"1.886256";"1.99";"0";"1";
"907";"http://almoune.fr/img/p/0.jpg";"Barazek Al sharek 375 gr";"";"Produits";"5.687204";"6";"0";"1";
"1123";"http://almoune.fr/img/p/0.jpg";"Coriandre moulue Sofram 500gr";"";"Épices";"3.080569";"3.25";"-5";"1";
"1534";"http://almoune.fr/img/p/0.jpg";"Huile";"";"Huiles et vinaigres";"9.952607";"10.5";"-1";"1";
"1988";"http://almoune.fr/img/p/0.jpg";"Tomate concassees 5/1";"";"Accueil";"7.497630";"7.91";"-2";"1";
"2264";"http://almoune.fr/img/p/0.jpg";"Piments marinés Alsaadah";"";"Accueil";"1.791469";"1.89";"-12";"1";
"2783";"http://almoune.fr/img/p/0.jpg";"sac bretelle 2000 pieces";"";"Accueil";"36.000000";"43.2";"-2";"1";
"2558";"http://almoune.fr/img/p/0.jpg";"keshke al ahlam 200ge ";"";"Accueil";"3.781991";"3.99";"-19";"1";
"3012";"http://almoune.fr/img/p/0.jpg";"Piment très fort rouge en poudre 25gr";"";"Accueil";"0.947867";"1";"8";"1";
"2725";"http://almoune.fr/img/p/0.jpg";"Pepsi zéro sucre";"";"Accueil";"0.947867";"1";"24";"1";
"1425";"http://almoune.fr/img/p/0.jpg";"Labneh Al Raï 500gr.";"";"Produits laitiers";"3.781991";"3.99";"-58";"1";
"2502";"http://almoune.fr/img/p/0.jpg";"Amandes Carmel 250gr Oregal";"";"Accueil";"2.606635";"2.75";"3";"1";
"2897";"http://almoune.fr/img/p/0.jpg";"Poulet entier 1.2";"";"Accueil";"4.199052";"4.43";"-48";"1";
"1253";"http://almoune.fr/img/p/0.jpg";"Baklava cajou vrac 3.5 kg";"";"Accueil";"15.497630";"16.35";"0";"1";
"1820";"http://almoune.fr/img/p/0.jpg";"Raisins secs noirs Jumbo  en vrac 500 gr";"";"Fruits secs ";"3.781991";"3.99";"0";"1";
"1000";"http://almoune.fr/img/p/0.jpg";"Graines de courge 250gr.";"";"Accueil";"2.132701";"2.25";"24";"1";
"2330";"http://almoune.fr/img/p/0.jpg";"Aubergine ";"";"Accueil";"1.450237";"1.53";"-384";"1";
"1369";"http://almoune.fr/img/p/0.jpg";"Maamoul douaihy 70g.";"";"Patisseries Douaihy";"1.658768";"1.75";"-181";"1";
"2218";"http://almoune.fr/img/p/0.jpg";"Jus en poudre fraise 400gr Ice";"";"Accueil";"2.606635";"2.75";"22";"1";
"2677";"http://almoune.fr/img/p/0.jpg";"tasse cafe petit";"";"Accueil";"0.833333";"1";"-11";"1";
"1594";"http://almoune.fr/img/p/0.jpg";"Sept épice tanourine 1kg";"";"Condiments";"11.848341";"12.5";"0";"1";
"2451";"http://almoune.fr/img/p/0.jpg";"Ghraybeh moulin d'or 350 G";"";"Accueil";"6.161137";"6.5";"-1";"1";
"2839";"http://almoune.fr/img/p/0.jpg";"summac Libanais 100gr boulos";"";"Accueil";"4.028436";"4.25";"6";"1";
"1132";"http://almoune.fr/img/p/0.jpg";"Eau de fleurs Samra";"";"Concentrés";"1.554502";"1.64";"-5";"1";
"1542";"http://almoune.fr/img/p/0.jpg";"Coriandre entier 250gr. vrac";"";"Épices";"3.317536";"3.5";"-4";"1";
"2273";"http://almoune.fr/img/p/0.jpg";"Labneh 3.8 kg ";"";"Accueil";"16.587678";"17.5";"-3";"1";
"2791";"http://almoune.fr/img/p/0.jpg";"Tuna Chunk Chili Tayba 160 gr";"";"Accueil";"1.563981";"1.65";"-22";"1";
"2620";"http://almoune.fr/img/p/0.jpg";"Lentille rouge DURRU";"";"Accueil";"2.748815";"2.9";"0";"1";
